Aaron
Adamache
Adamescu
Adameșteanu
Agarici
Albu
Aldulescu
Alecsandri
Alexandrescu
Alexandru
Alexe
Alupei
Anastase
Anca
Andreescu
Andronescu
Andronic
Anghel
Anghelescu
Anton
Antonescu
Apostol
Apostu
Ardelean
Ardeleanu
Argetoianu
Arion
Aron
Asachi
Astafei
Atanasiu
Athanasiu
Atodiresei
Avram
Avramescu
Baba
Babeș
Baciu
Badea
Bădescu
Bagdasar
Baicu
Balan
Balauru
Balint
Bănică
Barbu
Bărbulescu
Bârlădeanu
Barna
Bărnuțiu
Bejan
Bejinariu
Beldiceanu
Bengescu
Benzar
Berceanu
Berindei
Blaga
Boboc
Bodiu
Boerescu
Bogdan
Bogza
Bolohan
Borcea
Bordeianu
Borza
Bostan
Botez
Botezatu
Boureanu
Brăescu
Brâncoveanu
Brașoveanu
Bratu
Breban
Brediceanu
Bucătaru
Bucșă
Bucur
Bud
Budescu
Budișteanu
Buga
Bumbac
Bunea
Burcea
Burghelea
Buș
Buzărnescu
Buzdugan
Cadanțu
Cadar
Călinescu
Călugăreanu
Călugăru
Cândea
Caragiale
Caranfil
Catargiu
Cazaban
Cazacu
Ceaușescu
Ceaușu
Cebanu
Celibidache
Cercel
Cerchez
Cernat
Cernea
Cheban
Checicheș
Cherecheș
Chihaia
Chinezu
Chirilă
Chirilov
Chițu
Cihărean
Cioabă
Cioban
Ciobanu
Ciocan
Ciocanu
Ciocoiu
Ciolacu
Ciorbă
Ciubotaru
Ciucă
Ciumac
Ciurea
Coandă
Cobălcescu
Cocea
Codreanu
Codrescu
Cojoc
Cojocar
Cojocaru
Coliban
Coman
Comănescu
Comșa
Condurache
Constantin
Constantinescu
Copil
Corbeanu
Corbu
Cornea
Corneanu
Coșovei
Costache
Costea
Costescu
Costin
Costiniu
Cotora
Cotruș
Covaci
Coval
Covali
Covaliov
Cozma
Cozmâncă
Crăciun
Creangă
Crețu
Crețulescu
Crișan
Cristea
Cristescu
Cristian
Croitoru
Culianu
Cuțov
Dabija
Damaschin
Damian
Dan
Danciu
Darie
Datcu
Davidescu
Davidoglu
Deac
Deleanu
Demetrescu
Densusianu
Diaconescu
Diaconu
Dimitrescu
Dimitriu
Dimofte
Dincă
Dines
Dinescu
Dinicu
Dinu
Dobre
Dobrescu
Dobrogeanu
Dogaru
Donceanu
Doroftei
Drăgan
Drăganu
Drăghicescu
Drăghici
Dragnea
Drăgoi
Dulgheru
Dumitrache
Dumitrescu
Dumitriu
Dumitru
Duță
Duțescu
Eftimiu
Eliade
Enache
Ene
Enescu
Epureanu
Eremia
Eșanu
Esinencu
Faur
Felea
Fieraru
Filip
Filipescu
Filotti
Firea
Florea
Florescu
Florian
Focșeneanu
Fodor
Gafencu
Gaina
Gane
Ganea
Gavrilă
Georgesco
Georgescu
Gheorghe
Gheorghiu
Gherasim
Gherea
Gherghel
Gherman
Ghimpu
Ghiță
Giurescu
Giurgiu
Giurgiuca
Giușcă
Glavan
Goga
Goia
Goian
Goldiș
Golea
Grasu
Grecescu
Grecu
Grigoraș
Grigorescu
Grossu
Grosu
Groza
Grozav
Grozavu
Hagi
Hănescu
Hanganu
Haralamb
Hasdeu
Hațegan
Hațieganu
Herea
Herescu
Herlea
Hoban
Hodoș
Hossu
Huidu
Hutopilă
Iacob
Iacobescu
Ianculescu
Ilie
Iliescu
Iliuță
Ioanid
Ion
Ionescu
Ioniță
Iordache
Iordan
Iorga
Iosif
Iovan
Ioviță
Isac
Isopescu
Istrate
Istrati
Itu
Iuga
Ivănescu
Izbașa
Kirițescu
Kogălniceanu
Lăcătuș
Lăcustă
Lahovary
Lapedatu
Lascăr
Lazăr
Lăzăreanu
Lăzărescu
Lecca
Lemnaru
Leonida
