Adelina
Adina
Adriana
Alexandra
Alina
Amalia
Ana
Anamaria
Anastasia
Anca
Ancuța
Andrada
Andreea
Angela
Angelica
Anica
Antonia
Aurelia
Aurora
Beatrice
Bianca
Camelia
Carla
Carmen
Cătălina
Clara
Claudia
Constance
Constanța
Corina
Cornelia
Cosmina
Crina
Cristiana
Cristina
Dana
Daniela
Daria
Delia
Denisa
Diana
Doina
Dolores
Dora
Dorina
Dragana
Ecaterina
Elena
Eleonora
Elisabeta
Elvira
Eugenia
Felicia
Flavia
Florentina
Florina
Gabriela
Georgeta
Georgiana
Ileana
Ilinca
Ina
Ioana
Iolanda
Ionela
Ionica
Irina
Irinel
Isabella
Iulia
Iuliana
Larissa
Laura
Lavinia
Liana
Lidia
Liliana
Livia
Loredana
Luana
Lucia
Luciana
Luiza
Luminița
Mădălina
Magda
Magdalena
Mălina
Mara
Marcela
Margareta
Maria
Mariana
Maricica
Marilena
Marina
Marioara
Marta
Melania
Mihaela
Milena
Mirela
Miriam
Monica
Nadia
Nadine
Natalia
Natasha
Nicoleta
Niculina
Nikolina
Nuta
Oana
Olga
Olivia
Otilia
Patricia
Paula
Rachel
Raluca
Ramona
Rebeca
Regina
Roberta
Rodica
Roxana
Ruxandra
Sabina
Sanda
Sandra
Silvia
Simona
Smaranda
Sonia
Sophia
Sorana
Sorina
Ștefania
Stefania
Stela
Tamara
Tatiana
Teodora
Valentina
Valeria
Veronica
Victoria
Violeta
Viorica
Virginia
