Adam
Adrian
Albert
Alexandru
Alexe
Anastase
Anatolie
Anghel
Anton
Antonie
Antonio
Apostol
Aron
Artur
Atanasie
Augustin
Aurel
Avram
Barbu
Bartolomeu
Bogdan
Caius
Călin
Camil
Carol
Cătălin
Cezar
Chiril
Cicerone
Ciprian
Claudiu
Codruț
Coloman
Constantin
Coriolan
Cornel
Corneliu
Cosmin
Costache
Costea
Costel
Costi
Costică
Costin
Costinel
Cristi
Cristian
Dacian
Damaschin
Damian
Dan
Dana
Daniel
Dănuț
Darie
Dario
David
Decebal
Denis
Dimitrie
Dinu
Dorel
Dorian
Dorin
Doru
Dragomir
Dragoș
Duiliu
Dumitru
Eduard
Emanoil
Emil
Emilian
Eremia
Eugen
Eugeniu
Eusebiu
Eustațiu
Ferdinand
Filaret
Filip
Flavius
Florea
Florentin
Florian
Florin
Francisc
Gabriel
Gavril
Gelu
George
Georgian
Ghenadie
Gheorghe
Gherasim
Gigel
Grigore
Haralamb
Haralambie
Horațiu
Horia
Iacob
Ilarie
Ilarion
Ilie
Iliuță
Ioan
Ion
Ionel
Ionuț
Iordan
Iosif
Irinel
Isac
Istrate
Iulian
Iuliu
Iurie
Iustin
Lascăr
Laurențiu
Lazăr
Leon
Leonte
Leontin
Liviu
Luca
Lucian
Mădălin
Manea
Manole
Manuel
Marc
Marcel
Marcu
Marian
Marin
Marius
Matei
Mihai
Mihail
Mihnea
Mircea
Miron
Mișu
Mitică
Mitrofan
Moise
Mugur
Mugurel
Narcís
Neagu
Neculai
Nichita
Nicolae
Nicu
Niculae
Nicușor
Nistor
Octav
Octavian
Olimpiu
Ovidiu
Panait
Paul
Pavel
Petrache
Petre
Petru
Pompiliu
Preda
Puiu
Radu
Rareș
Raul
Răzvan
Remus
Robert
Roman
Romeo
Romulus
Sabin
Sava
Scarlat
Sebastian
Septimiu
Șerban
Serghei
Sergiu
Sever
Silvian
Silviu
Simion
Sofronie
Sorin
Stan
Ștefan
Stelian
Stroe
Teodor
Teodosie
Teofil
Teohari
Theodor
Tiberiu
Tit
Titu
Titus
Toma
Toni
Traian
Tudor
Tudorel
Vadim
Valentin
Valer
Valeriu
Vasile
Veaceslav
Vespasian
Victor
Vincențiu
Vintilă
Viorel
Virgil
Vitalie
Vlad
Vladimir
Zaharia
Zamfir
