Ai
An
Ao
Are
Bai
Ban
Bao
Bei
Bi
Bian
Bing
Bo
Bong
Cai
Cao
Cen
Chai
Chan
Chang
Chao
Che
Chea
Chen
Cheng
Cheung
Chew
Chi
Chia
Chin
Ching
Chiu
Chong
Chow
Chu
Chui
Cong
Cui
Dai
Dan
Dang
Deng
Di
Diao
Ding
Dong
Dongfang
Dou
Du
Duan
Duanmu
Dugu
E
Fan
Fang
Fei
Féng
Fēng
Fèng
Fu
Gan
Gao
Gaw
Ge
Geng
Gong
Gongsun
Gou
Gǔ
Gu
Guan
Guān
Gui
Guo
Hai
Han
Hao
He
Heng
Hom
Hong
Hou
Hu
Hua
Huang
Huangfu
Hui
Hung
Huo
Huyan
Ji
Jia
Jian
Jiǎng
Jiang
Jiao
Jin
Jing
Ju
Kam
Kan
Kang
Ke
Kong
Kuang
Lai
Lan
Le
Lei
Leng
Li
Liang
Luò
Liao
Lin
Ling
Linghu
Liu
Liǔ
Loi
Long
Looi
Lou
Lu
Lü
Luan
Lui
Luo
Ma
Mai
Mao
Mar
Mei
Meng
Mi
Miáo
Min
Mo
Mok
Mu
Namgung
Nan
Nee
Ng
Ngai
Ni
Nie
Ning
Niu
Ou
Ouyang
Pan
Pang
Pei
Peng
Pi
Ping
Pon
Pu
Pun
Qi
Qian
Qiān
Qiao
Qin
Qiú
Qiū
Qu
Ran
Rao
Ren
Rong
Ru
Ruan
Rui
Sang
Sha
Shan
Shao
She
Shen
Sheng
Shentu
Sheung
Shí
Shing
Shuai
Shui
Shum
Si
Sima
Situ
Song
Su
Sui
Sun
Taishi
Tan
Tang
Tao
Teng
Teoh
Thau
Thong
Tian
Toh
Tong
Tou
Tow
Tsang
Tsui
Tu
Tuo
Wan
Wang
Wei
Wen
Weng
Wong
Woon
Wu
Xi
Xia
Xiahou
Xian
Xiang
Xiao
Xie
Ximen
Xin
Xing
Xiong
Xu
Xuan
Xue
Xun
Yan
Yang
Yao
Yau
Ye
Yehliu
Yeo
Yeoh
Yi
Yin
Ying
Ying
You
Yow Yeh
Yu
Yuan
Yuchi
Yue
Yún
Yung
Zai
Zang
Zeng
Zha
Zhai
Zhan
Zhang
Zhao
Zhen
Zheng
Zhi
Zhong
Zhou
Zhu
Zhuang
Zhuge
Zhuo
Zong
Zou
Zu
Zuo
