Abby
Abélia
Abelone
Adélaïde
Adèle
Adélie
Adeline
Adrienne
Agathe
Agnès
Aïcha
Aimée
Aïssata
Aïssatou
Akiko
Albane
Alberte
Albertine
Alexandra
Alexandrine
Alexia
Alice
Alicia
Aliénor
Aline
Alix
Alphonsine
Amanda
Amandine
Ambre
Amélie
Ameline
Anaïs
Anastasie
Andrée
Ange
Angèle
Angélina
Angeline
Angélique
Anita
Anna
Annabelle
Anne
Anne-Laure
Anne-Marie
Anne-Sophie
Annette
Annick
Annie
Antoinette
Aoi
Apolline
Ariane
Arlette
Armandine
Armelle
Astrid
Atsuko
Aude
Audrey
Augustine
Aurélia
Aurélie
Auriane
Aurore
Axelle
Aya
Ayako
Ayumi
Barbara
Barbe
Bastienne
Béatrice
Béatrix
Bénédicte
Bérangère
Bérengère
Bérénice
Bernadette
Berthe
Bertine
Bethsabée
Blanche
Blandine
Brigitte
Camille
Capucine
Carine
Carla
Carmen
Caro
Carole
Caroline
Catherine
Cécile
Cécilia
Cédrika
Céleste
Célia
Céline
Chantal
Chariclée
Charlène
Charlotte
Chihiro
Chisa
Chiyo
Chloé
Chouchanik
Christelle
Christiane
Christine
Claire
Clara
Clarisse
Claude
Claudette
Claudia
Claudie
Claudine
Clélia
Clélie
Clémence
Clémentine
Clervie
Clœlia
Clothilde
Clotilde
Colette
Coline
Constance
Coralie
Corentine
Corinne
Cyrille
Dalila
Danièle
Danielle
Dany
Daphné
Débora
Déborah
Delphine
Denise
Désirée
Diane
Dolorès
Dominique
Dorothée
Édith
Edmée
Edwige
Éléonore
Éliane
Élisa
Élisabeth
Élise
Élodie
Éloïse
Émeline
Emiko
Émilie
Émilienne
Emma
Emmanuelle
Ernestine
Esmé
Esmée
Estelle
Esther
Eugénie
Eulalie
Éva
Evaëlle
Ève
Évelyne
Fabienne
Fanny
Fatimata
Félicité
Fernande
Fiona
Fleur
Fleurette
Flora
Flore
Florence
France
Francine
Françoise
Frédérique
Gabrielle
Gaby
Gaëlle
Gaétane
Geneviève
Genie
Georgette
Géraldine
Germaine
Gervaise
Ghislaine
Ghyslaine
Gigi
Gilberte
Ginette
Gisèle
Giselle
Godeleine
Godeliève
Guenièvre
Guillemette
Gulbahar
Gwenaëlle
Gwendoline
Hanako
Haruko
Harumi
Haydée
Hélène
Héloïse
Henriette
Herisoa
Hikari
Hiroko
Hisako
Hitomi
Honorine
Hortense
Huguette
Inès
Ingrid
Irana
Irène
Iris
Irma
Isabelle
Iseult
Jacotte
Jacqueline
Jade
Janine
Jasmine
Jeanne
Jeannette
Jeannine
Jehanne
Jennifer
Jessica
Jocelyne
Joëlle
Josée
Joséphine
Josette
Josseline
Judith
Julia
Julie
Julienne
Juliette
Justine
Kahina
Kaouther
Karine
Kasumi
Katia
Kazuko
Keiko
Kikuko
Kiyoko
Kumiko
Kuniko
Laetitia
Laëtitia
Lætitia
Lamia
Lara
Laura
Laure
Laurence
Laurette
Laurine
Léa
Leila
Lélia
Léone
Léonie
Léonora
Léonore
Leslie
Lesly
Liliane
Lilibelle
Linda
Lisa
Lise
Lisette
Livie
Loïs
Lola
Lorraine
Lou
Louise
Loujaïne
Lucie
Lucienne
Lucile
Lucille
Lucrèce
Ludivine
Lydia
Lydie
Madeleine
Maëlle
Maëlys
Maeva
Maéva
Magali
Maïssa
Maïté
Malou
Manon
Marceline
Marcelle
Marcelline
Margaux
Margot
Marguerite
Maria
Marianne
Marie
Marie-Ange
Marie-Christine
Marie-Claire
Marie-Claude
Marie-France
Marie-Françoise
Marie-Hélène
Marie-José
Marie-Laure
Marie-Louise
Marie-Madeleine
Marie-Noëlle
Marie-Odile
Marie-Paule
Marie-Pier
Marie-Pierre
Marie-Thérèse
Marielle
Mariette
Mariko
Marina
Marine
Marinette
Marion
Maripier
Marjolaine
Marlène
Marthe
Martine
Maryvonne
Mathilde
Matina
Maud
Maude
Mégane
Megumi
Mélanie
Mélissa
Mélodie
Michèle
Micheline
Michelle
Michiko
Midori
Mika
Milouda
Mireille
Miryam
Miu
Miyu
Miyuki
Monika
Monique
Morgane
Muriel
Murielle
Mylène
Myriam
Nadège
Nadia
Nadine
Nanami
Nancy
Nanette
Napoléone
Natacha
Natela
Nathalie
Natsuko
Natsumi
Nicole
Nicolette
Nicoline
Nikita
Nina
Nine
Nini
Ninon
Noël
Noëlle
Noémi
Noémie
Nolwenn
Noriko
Océane
Océanne
Odette
Odile
Olivia
Ophélie
Orianne
Orinda
Paola
Parascève
Pascale
Pascaline
Patricia
Paule
Paulette
Pauline
Peggy
Pénélope
Perrette
Perrine
Petronille
Pétronille
Philippa
Philomène
Pierrette
Poppée
Prascovie
Quiterie
Quitterie
Rachel
Rachelle
Radegonde
Raphaëlle
Raymonde
Rebecca
Rébecca
Régine
Reiko
Reine
Rejeanne
Réjeanne
Renée
Risa
Roberte
Rolande
Romaine
Romane
Rosalie
Rose
Rose-Marie
Roseline
Roselyne
Roxane
Roze
Ruth
Sabine
Sabrina
Sachiko
Sakura
Sandra
Sandrine
Sara
Sarah
Satomi
Sauvanne
Sayako
Sayragul
Sayuri
Sébastienne
Ségolène
Séraphine
Setsuko
Sève
Séverine
Shigeko
Sigolène
Sihem
Simone
Simonne
Soizic
Solange
Solène
Solenn
Solenne
Sonia
Sophie
Stéphane
Stéphanie
Suliane
Sumiko
Suzanne
Sylvaine
Sylvette
Sylvia
Sylviane
Sylvie
Takako
Tamiko
Tania
Tatiana
Taylor
Thaïs
Thècle
Thérèse
Tiffenn
Tiphaine
Titine
Trang
Tsuguko
Valentine
Valérie
Vanessa
Véro
Véronique
Victoire
Victoria
Violaine
Violette
Virginie
Viviane
Vivienne
Yaeko
Yaëlle
Yasmina
Yasmine
Yasuko
Yoko
Yolande
Yoshiko
Yseult
Yui
Yukiko
Yuko
Yumi
Yumiko
Yuriko
Yvette
Yvonne
Zazie
Zénaïde
Zoé
