Name,Meaning in English,Source Name,Gender,Source
Tlilli,black ink,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlilpotonqui,he stinks black,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlilquen,black garment,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlohui,Buzzard If related to tlohtli Buzzard,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tlotzin,,Wikipedia,male,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Tochhua,rabbit owner,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tochin,,Wikipedia,male,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Tochtlea,Rabbit,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Tochtlee,"Spelling variation of Tochtlea,  meaning rabbit. ",Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Tochtli,rabbit,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tohuacochin,,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tolnahuacatl,person from a place close to reeds,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Toltecatl,An artist or a creative person,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Tomiyauh,,Wikipedia,female,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Tonal,day,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tonalnan,Mother of light,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Tonantzin,Mother earth or the mother Goddess,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Tonatiuh,Sunshine,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Tonauac,The one who possesses light,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Tonecocal,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Toqual,our good thing,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tototl,bird,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tozcuecuexcatl,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tozi,Aztec goddess of healing and sweet water,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Tozmacue,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tozquetzin,,Wikipedia,female,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Tupack,Warrior,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Tupoc,Spelling variation of Tupack. It means warrior.,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Tzacualcatl,Unknown,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/acolnahuacatl-tzacualcatl
Tziuhcoatl,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tziuhtla,,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Tzontecomatl,,Wikipedia,male,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Ueman,Venerable time,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Xelhuan,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Xicohtencatl,Angry bumblebee,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Xihuitl,herb,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Xilonen,Hairy one,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Xilotl,young corncob,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Xiloxoch,Calliandra,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Xipil,"Noble One,  of Fire ",Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Xipilli,Jeweled prince,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Xitllali,Goddess of the moon,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Xiuhcoatl,Comet,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Xiuhcozcatl,greenstone necklace,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Xiuhquetzal,,Wikipedia,male,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Xiuhtomiyauhtzin,,Wikipedia,female,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Xiuhtonal,Precious light,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Xiutecuhtli,Gentleman of the fire,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Xochiatlapal,flower wing,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Xochicotzin,Fire serpent,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Xochihua,flower owner,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Xochil,Flower,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Xochilt,Orthographic variant of Xochil (flower),Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Xochinahual,flower sorcerer,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Xochipilli,God of love and flowers,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Xochiquen,flower garment,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Xochiquetzal,Most beautiful flower,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Xochiteotl,flower god,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Xochitl,Flower,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Xochiyotl,Heart of a gentle flower,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Xoco,Youngest sister,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Xocotzin,Youngest daughter,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Xocoyotl,Youngest sibling,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Xolotecatl,person from Xolotlan,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Xolotl,Precious twin,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Yaonemitl,enemy arrow,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Yaotel,Rival,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Yaotl,"Warrior, Rival",Wikipedia,male,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Yaotlachinol,destruction of war,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Yaotlapantzin,,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/aguilar-yaotlapantzin
Yaotlhuehue,old enemy,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Yaotyl,Orthographic variant of Yaotel (Rival),Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Yaoxochitl,enemy flower (a name for marigold),Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Yaquica,he goes to war,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Yaquin,,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Yaretzi,You will always be loved,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Yecatlahua,,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Yolihuani,Source of life,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Yolotli,Heart,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Yoloxochitl,Flower of the heart,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Yolyamanitzin,He who is considerate and just,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Yopicatl,Me'phaa person,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Zacahuehue,old grass man,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Zeltzin,Delicate,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Zipactonal,Harmonic light,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Zolin,quail,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Zuma,Lord Frowns In Anger,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Zyanya,"Forever, always",Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
