Name,Meaning in English,Source Name,Gender,Source
Ilamatecuhtli,Name of Aztec fertility and death goddess.,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Ilancueitl,"old-woman skirt, first queen of Tenochtitlan",Wikipedia,female,https://en.wikipedia.org/wiki/Ilancueitl
Ilcahualoc,he is forgotten,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Ilhicamina,He who shoots arrows at the sky,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Ilhuicacihuatl,sky woman,Blog,female,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Itzcali,House of beauty,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Itzcoatl,Obsidian serpent,Wikipedia,male,https://en.wikipedia.org/wiki/List_of_Tenochtitlan_rulers
Itzcotocatl,cut by obsidian,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Itzli,Obsidian,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Itzmalli,obsidian prisoner,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Itzmiquiztli,sacrifice,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Itzpapalotl,Obsidian butterfly,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Itztli,Obsidian knife,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Ixcuiname,Four faces or four sisters.,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Ixpanton,,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Ixtli,Face,Baby Names,female,https://www.momjunction.com/baby-names/aztec/girl/
Ixtlilxochitl,,Nahuatl Dictionary,male,https://nahuatl.uoregon.edu/content/alva-ixtlilxochitl
Ixtlilxochitl Ome Tochtli,,Wikipedia,male,https://en.wikipedia.org/wiki/List_of_Tetzcoco_rulers
Izcahuatl,,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Maceuhqui,he deserved,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Macuilhuehue,five old man,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Malinalxochitl,,Wikipedia,female,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
Mamaz,little deer,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Matlal,purple,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Matlalaca,purple reed,Blog,unisex,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Matlalihhuitl,purple feather,Blog,male,https://nahuatlstudies.blogspot.com/2014/11/nahuatl-names-nahuatl-names-in-1544.html
Matlalihuitl,Greenish-blue feather,Baby Names,male,https://www.momjunction.com/baby-names/aztec/boy/
Matzicoltzin,,Wikipedia,male,https://en.wikipedia.org/wiki/Acolmiztli_(Coatl_Ichan)
