http://www.wikidata.org/entity/Q391614,Agave,Nereid of Greek mythology
http://www.wikidata.org/entity/Q381459,Agave,daughter of Cadmus in Greek mythology
http://www.wikidata.org/entity/Q394161,Aglaia,mythical character
http://www.wikidata.org/entity/Q3361417,Aglaope,one of the Sirens in Greek mythology
http://www.wikidata.org/entity/Q21548117,Aglaophónos,one of the Sirens in Greek mythology
http://www.wikidata.org/entity/Q3606663,Agno,nymph
http://www.wikidata.org/entity/Q2913206,Agrat bat Mahlat,demon in Jewish mythology
http://www.wikidata.org/entity/Q21548147,Agre,mythological dog
http://www.wikidata.org/entity/Q518658,Agrius,centaur in the Greek mythology
http://www.wikidata.org/entity/Q14912115,Agrius,Greek mythical giant
http://www.wikidata.org/entity/Q4694590,Agunua,the chief god of the people of Makira island.
http://www.wikidata.org/entity/Q399586,Agwé,water deity
http://www.wikidata.org/entity/Q12076690,Agylle,nymph of Lake Trasimeno
http://www.wikidata.org/entity/Q402963,Ahti,water deity of Finnish Folk poetry
http://www.wikidata.org/entity/Q4696456,Ahöla,spirit being in the Hopi religion
http://www.wikidata.org/entity/Q3607089,Aigamuxa,Legendary creature
http://www.wikidata.org/entity/Q2607548,Aim,demon
http://www.wikidata.org/entity/Q1890507,Aipaloovik,inuit water deity associated with death
http://www.wikidata.org/entity/Q440861,Airaavatha,mythical creature
http://www.wikidata.org/entity/Q5695424,Aix,nymph
http://www.wikidata.org/entity/Q412088,Ajatar,mythological serpent in Finnish folklore
http://www.wikidata.org/entity/Q65288940,Ajina,demon in Turkic mythology
http://www.wikidata.org/entity/Q2500075,Akashita,"Akashita (赤舌, lit. ""red tongue"") is a yōkai that appeared in Toriyama Sekien's Gazu Hyakki Yakō. It is drawn as a beast with clawed hands and a hairy face, with most of its body hidden in a black cloud over a floodgate."
http://www.wikidata.org/entity/Q431296,Akateko,monster of Japanese folklore
http://www.wikidata.org/entity/Q2352485,Akhlut,Creature in Inuit mythology
http://www.wikidata.org/entity/Q2829098,Akkorokamui,gigantic octopus-like monster from Ainu folklore
http://www.wikidata.org/entity/Q1756304,Aku Aku,spiritual beings in Easter Island culture
http://www.wikidata.org/entity/Q623463,Al Rakim,mythical creature
http://www.wikidata.org/entity/Q21548208,Alastor,one of the four horses of Pluto
http://www.wikidata.org/entity/Q948021,Albert Quackmore,Scrooge McDuck's butler in Italy-produced Disney comics
