mythicalCreature,mythicalCreatureLabel,mythicalCreatureDescription
http://www.wikidata.org/entity/Q60465996,Eperie,"EPERIE , es , eine Nymphe, in welche sich Aesakus verliebete, die ihm aber immer aus dem Wege gieng. Sieh Aesacus ."
http://www.wikidata.org/entity/Q18060939,Erawan,thailändische Form des mythischen Elefanten Airavata
http://www.wikidata.org/entity/Q60619127,Erythrevs,"ERYTHREṼS , ei , eines von den vier Pferden der Sonne, welches so viel, als roth , heißt, weil die Sonne frühmorgens roth aufzugehen pflegt. Fulgent. Mythol. lib. I. c. 11 . Sieh Sol ."
http://www.wikidata.org/entity/Q1372114,Euboios,Gigant aus der griechischen Mythologie
http://www.wikidata.org/entity/Q15808782,Eunosta,Nymphe der Griechischen Mythologie
http://www.wikidata.org/entity/Q1374107,Euphorbos,Gigant aus der griechischen Mythologie
http://www.wikidata.org/entity/Q60691485,Evdromvs,"EVDRŎMVS , i , einer von Aktäons vielen Hunden. Hygin. Fab. 181 . Sieh Actæon ."
http://www.wikidata.org/entity/Q1545450,Greif,Bezeichnung eines Fabelwesens in der altägyptischen Mythologie
http://www.wikidata.org/entity/Q1566760,Habergeiß,Dämonengestalt alpenländischer Mythologie-Kultur
http://www.wikidata.org/entity/Q101363532,Hadburg,Meerweib im Nibelungenlied
http://www.wikidata.org/entity/Q1398720,Halios geron,griechische Gottheit
http://www.wikidata.org/entity/Q1575492,Hanghuhn,Fantasiewesen
http://www.wikidata.org/entity/Q62108371,Harpalos,"HARPALOS , i , einer von Aktäons vielen Hunden. Ovid. Metam . III. 222 . Er heißt so viel als Rapax . Cnipp. ad eumd. l. c . Sieh Actæon ."
http://www.wikidata.org/entity/Q65054738,Helimvs,"HELĬMVS , i , ( ⇒ Tab. XIV.) einer von den Centauren, der auf des Pirithous Hochzeit von dem Cäneus erleget wurde. Ovid. Metam . XII. v. 460 ."
http://www.wikidata.org/entity/Q53717274,Hija,Geistwesen der albanischen Mythologie
http://www.wikidata.org/entity/Q11488089,Kage-onna,Wesentlich des japanischen Volksglauben
http://www.wikidata.org/entity/Q1776640,Klushund,Sagengestalt aus dem österreichischen Bundesland Vorarlberg
http://www.wikidata.org/entity/Q22965484,Kornmann,deutsche Sagengestalt
http://www.wikidata.org/entity/Q1792788,Kuperan,Riese der Siegfried-Sage
http://www.wikidata.org/entity/Q107552580,Latreus,in der klassischen Mythologie ein Kentaur
http://www.wikidata.org/entity/Q1900292,Mo-O,mythisches Wesen
http://www.wikidata.org/entity/Q39618949,Morro,fiktive Figur aus Lego Ninjago
http://www.wikidata.org/entity/Q56462861,Muggestutz,Zwerg aus dem gleichnamigen Buch
http://www.wikidata.org/entity/Q2377658,Pihi,mythologischer Vogel
http://www.wikidata.org/entity/Q1656820,Popelmann,Sagengestalt
http://www.wikidata.org/entity/Q4901802,Roggenmuhme,deutsche Sagengestalt
http://www.wikidata.org/entity/Q30310171,Roggenwolf,wolfsgestaltiger Korndämon
http://www.wikidata.org/entity/Q53700542,Sakoko (Fabelwesen),Fabelwesen auf der südostasiatischen Insel Timor
http://www.wikidata.org/entity/Q9350419,Sirius,antiker Kult
http://www.wikidata.org/entity/Q2350271,Stinthengst,Fabelwesen
http://www.wikidata.org/entity/Q2404406,Tereine,Najade der Griechischen Mythologie
http://www.wikidata.org/entity/Q4661578,Aani,Wesen der altägyptischen Religion
http://www.wikidata.org/entity/Q304227,Aba,Najade der Griechischen Mythologie
http://www.wikidata.org/entity/Q276765,Abaddon,mythologische Figur der Bibel
http://www.wikidata.org/entity/Q279782,Abarbarea,Najade der Griechischen Mythologie
http://www.wikidata.org/entity/Q305548,Abarbarea,tyrische Najade der griechischen Mythologie
http://www.wikidata.org/entity/Q305611,Abas,Sohn des Ixion
http://www.wikidata.org/entity/Q322585,Abnoba,keltische Muttergöttin
http://www.wikidata.org/entity/Q21547755,Abrax,"ABRAX , ăcis , eines der Pferde, welche der Aurora Wagen ziehen sollen, Hygin. Fab. 183. welches andere aber lieber Labrax nennen. Muncker. ad Hygin. l. c ."
http://www.wikidata.org/entity/Q334749,Abu,sumerischer Vegetationsgott
http://www.wikidata.org/entity/Q4748,Abyzou,weiblicher Dämon
http://www.wikidata.org/entity/Q221574,Abzu,mesopotamischer Gott des unter der Erde befindlichen Süßwasserozeans
http://www.wikidata.org/entity/Q21547780,Achamas,"ACHĂMAS , æ , ( ⇒ Tab. II.) ein Cyklope und Vulcans Schmiedeknecht in Sicilien. Val. Flaccus Argonaut. lib. I. v. 580 ."
http://www.wikidata.org/entity/Q391379,Achelous,in der griechischen Mythologie die Personifikation des Flusses Acheloos
http://www.wikidata.org/entity/Q12626619,Acheron,mythischer Fluss
http://www.wikidata.org/entity/Q3615214,Achiroe,Najade
http://www.wikidata.org/entity/Q21547793,Acholoë,"ACHOLOË , es , ( ⇒ Tab. IV.) eine von den Harpyien, wovon die beyden anderen Aëllopus und Ocypete sollen geheißen haben, von andern aber auch mehrern Theiles anders genannt werden. Hygin. Fab. 14 ."
http://www.wikidata.org/entity/Q419156,Acis,Person der griechischen Mythologie
http://www.wikidata.org/entity/Q21547805,Acmónides,"ACMÓNIDES , æ , ( ⇒ Tab. II.) ein Cyklope und Vulcans Schmiedeknecht, in dem Berge Aetna , Ovid. Fast. IV. v. 288 . der den Namen von ἄκμων hat, welches einen Amboß bedeutet. Andere nennen dafür den Argen , Heins."
http://www.wikidata.org/entity/Q12873255,Acraea,Najade der griechischen Mythologie
http://www.wikidata.org/entity/Q12898582,Actaea,"ACTAEA , æ, Gr . Ἀκταίη, ης, ( ⇒ Tab. IIII.) des Nereus und der Doris Tochter, und mithin eine von den Nereiden, oder Meernymphen, Apollodor. lib. I. c. 3. §. 7. & Hygin. Præf. p. 6 . d"
http://www.wikidata.org/entity/Q21547851,Actaeon,"ACTAEON , ŏnis , eines von denen vier Pferden der Sonne, das aber besser Aethon genennet wird. Fulgent. Mythol. lib. I. c. 2. & ad eum Muncker. l. c ."
http://www.wikidata.org/entity/Q346547,Adad,mesopotamischer Wettergott
http://www.wikidata.org/entity/Q2718640,Adamanthea,"ADAMANTAE , æ , Jupiters Amme, welche ihn in der Wiege an einen Baum hieng, damit er weder im Himmel, noch auf der Erde, noch im Wasser möchte gefunden werden, und, damit er sich auch nicht durch sein Schreyen verriethe, so gab ..."
http://www.wikidata.org/entity/Q4682505,Adhene,mythische Figuren der Isle of Man
http://www.wikidata.org/entity/Q4679171,Admete,"ADMÉTE , es, Gr . Ἀδμήτη, ης, ( ⇒ Tab. III.) des Oceans und der Tethys Tochter, Hesiod. Theog. v. 349. welche von dem α privat . δαμάω, domo , so viel"
http://www.wikidata.org/entity/Q366515,Adramelech,Figur der christlichen Dämonologie
http://www.wikidata.org/entity/Q4057954,Adrasteia,Oceans Tochter
http://www.wikidata.org/entity/Q404396,Aegiale,Tochter des Helios
http://www.wikidata.org/entity/Q321298,Aegina,Najade der Griechischen Mythologie
http://www.wikidata.org/entity/Q26276980,Aegle,Najade der Griechischen Mythologie
http://www.wikidata.org/entity/Q21272183,Aegle,"Figur der griechischen Mythologie, Hesperide"
http://www.wikidata.org/entity/Q380832,Aello,griechische Mythologie
http://www.wikidata.org/entity/Q3605939,Aellopoda,"AELLŎPVS , ŏdis, Gr . Αἐλλόπους, οδος, ( ⇒ Tab. IV.) ebenfalls eine der Harpyien, welche den Phineus plageten, und da sie Zetes und Calais verf"
http://www.wikidata.org/entity/Q21548001,Aeon,"AEON , ónis , einer von Actäons vielen Hunden, welche ihren Herrn, da ihn Diana in einen Hirsch verwandelt hatte, selbst anfielen und zerrissen. Hygin. Fab. 181 ."
http://www.wikidata.org/entity/Q21548009,Aesepus,"AESÉPVS , Gr . Αἴσηπος, ου, ( ⇒ Tab. III.) des Oceans und der Thetys Sohn, Hesiod Theogon. v. 342 . war ein Fluß in klein Mysien, der unterhalb der Stadt Cyzicum in den Propont fällt. C"
http://www.wikidata.org/entity/Q21548011,Aesile,"AESILE , es , ( ⇒ Tab. VIII.) eine von des Atlas Töchtern, deren Schwestern Ambrosia , Eudora, Dione und Polyxo waren, die aber andere auch insgesammt anders nennen. Nat. Com. Mythol. lib. IV. c. 7 ."
http://www.wikidata.org/entity/Q21548022,Aethe,"AETHE , es, Gr . Αἴθη, ης, eines von des Agamemnons Pferden, die er mit vor Troja hatte. Hom. Iliad. Ψ. v. 299 ."
http://www.wikidata.org/entity/Q21548048,Aethiops,"AETHIOPS , ŏpis , eines von den Pferden der Sonne, welches so viel als das feurige bedeutet, und insonderheit die Früchte zu ihrer Reise bringen soll. Hygin. Fab. 183 ."
http://www.wikidata.org/entity/Q3606127,Aethon,Pferd des Aeolus in der griechischen Mythologie
http://www.wikidata.org/entity/Q1371462,Aethon,Adler der griechischen Mythologie
http://www.wikidata.org/entity/Q21548057,Aethon,"AETHON , ónis , das Leibpferd des Pallas , Prinzen des Evanders , welches seines Herrn Tod mit großen Thränen beweinete. Virgil. Aen. XI. v. 89 ."
http://www.wikidata.org/entity/Q21548051,Aethon,eines der Pferde des Gottes Helios nach Ovid
http://www.wikidata.org/entity/Q21548062,Aethon,"AETHON , onis , eines von den Pferden des Hektors. Hom. Il Θ. v. 185 ."
