Abia
Abigaille
Addolorata
Adele
Adelfa
Adriana
Adua
Agar
Agata
Aglaia
Agnese
Aida
Alarica
Alberta
Alceste
Alda
Alessandra
Alessia
Alice
Alina
Amabile
Amalia
Amanda
Ambra
Amedea
Andreina
Angela
Anna
Annunziata
Antonella
Antonia
Antonietta
Apollonia
Aretusa
Argia
Ari
Arianna
Armida
Arminda
Asia
Assunta
Augusta
Aura
Aurelia
Aurora
Balbina
Barbara
Beatrice
Benedetta
Berenice
Bernadetta
Bernarda
Bernardina
Betta
Bettina
Bianca
Branda
Brigida
Bruna
Brunelda
Brunilda
Brunilde
Calliope
Camilla
Cammilla
Cariclea
Carla
Carmela
Carola
Carolina
Cassandra
Caterina
Cecilia
Celestina
Celina
Chiara
Chicca
Cinzia
Civita
Clara
Clarabella
Clarissa
Claudia
Clelia
Clementina
Clemenza
Clio
Clizia
Clorinda
Clotilde
Concetta
Cordelia
Cornelia
Cosetta
Crimilde
Cristiana
Cristina
Dafne
Dalila
Daniela
Daria
Debora
Deianira
Demetra
Despina
Diana
Diletta
Dina
Diomira
Dionisia
Domenica
Domitilla
Donata
Donatella
Doralice
Dorotea
Drusiana
Elda
Elena
Eleonora
Elettra
Elide
Eligia
Elisa
Elisabetta
Eloisa
Elsa
Emanuela
Emilia
Enrica
Enrichetta
Enza
Epifania
Ermenegilda
Ermengarda
Ermione
Ersilia
Ester
Eufemia
Eulalia
Eusebia
Eva
Fabiana
Faustina
Febe
Fede
Federica
Fedora
Felicita
Filippa
Fillide
Filomena
Fiore
Fiorella
Fiorenza
Fiorina
Flaminia
Flavia
Flora
Francesca
Gabriella
Gelsomina
Gemma
Genoveffa
Geraldina
Ghisolabella
Giacinta
Giacomina
Giada
Giaele
Giannina
Ginevra
Gioconda
Gioia
Giorgia
Giovanna
Giuditta
Giulia
Giuliana
Giuseppina
Giustina
Gloria
Grazia
Graziella
Gualdrada
Guendalina
Guglielma
Guglielmina
Ida
Ilaria
Ilda
Imma
Immacolata
Ines
Iolanda
Iole
Iosè
Irene
Isabella
Iside
Isidora
Isotta
Lara
Larissa
Laura
Lavinia
Leda
Leonilde
Leonora
Letizia
Lia
Licia
Lidia
Liliana
Lisa
Livia
Loide
Lorena
Lorenza
Luana
Lucia
Luciana
Lucrezia
Ludovica
Luisa
Luminosa
Luna
Lunella
Lunetta
Lunina
Maddalena
Malvina
Marfisa
Margherita
Maria
Maria Luisa
Mariangela
Marianna
Mariella
Marietta
Marina
Marta
Martina
Marzia
Matilde
Mattea
Melissa
Michela
Milca
Milena
Mimi
Monica
Morgana
Nadia
Natalia
Nausicaa
Nicoletta
Nilde
Noemi
Novella
Olimpia
Olivia
Oriana
Orsola
Ottavia
Paola
Patrizia
Penelope
Piera
Pina
Prassede
Quirina
Rachele
Raffaella
Rebecca
Renata
Renza
Rina
Rita
Roberta
Romana
Romola
Rosa
Rosalia
Rosalinda
Rosetta
Rosina
Rosmunda
Rossa
Rossana
Rut
Sabrina
Salomè
Samanta
Sandra
Sara
Saveria
Sefora
Selena
Selene
Selenia
Serafina
Sibilla
Silvana
Silvia
Simona
Sofia
Sonia
Stefania
Stella
Susanna
Sveva
Teodora
Teodosia
Teresa
Tita
Tiziana
Valentina
Valeria
Vanessa
Venera
Veneranda
Viola
Violante
Violetta
Virginia
Virna
Vittoria
Viviana
Zaira
Zelmira
Zenobia
Zilla
Zita
Zoe
Zora
