Abaco
Abbondanzio
Abbondazio
Abbondio
Abdenago
Abdia
Abdieso
Abdone
Abele
Abenzio
Abercio
Abia
Abibo
Abibone
Abilio
Abramio
Abramo
Abudemio
Acacio
Acario
Acazio
Accorso
Accursio
Acepsima
Achilla
Achille
Acilio
Acillino
Acindino
Aciscolo
Acrisio
Acuzio
Adalardo
Adalberto
Adalciso
Adalfredo
Adalgisio
Adalgiso
Adalindo
Adalio
Adaloaldo
Adalrico
Adamo
Adaulfo
Addai
Addo
Addolorato
Adelaido
Adelardo
Adelasio
Adelberto
Adelchi
Adelfo
Adelindo
Adelino
Adelio
Adelisio
Adeliso
Adelmiro
Adelmo
Adelo
Ademaro
Adeodato
Aderito
Adilio
Adino
Adinolfo
Adiuto
Admeto
Ado
Adolfo
Adone
Adorato
Adorno
Adrasto
Adriano
Adrio
Agabo
Agapito
Agatino
Agato
Agatocle
Agatodoro
Agatone
Agazio
Agenore
Agesilao
Aggeo
Agilulfo
Agnello
Agnesio
Agostino
Agrippino
Aguinaldo
Aiace
Aidano
Aido
Aimone
Alachis
Alagis
Alahis
Alano
Alarico
Albano
Alberto
Albio
Albizzo
Alboino
Alceo
Alceste
Alcibiade
Alcide
Alcino
Alciso
Alderico
Aldighiero
Aldo
Aldobrando
Alduino
Aleardo
Aleramo
Alessandro
Alessio
Alfiero
Alfio
Alfonso
Alfredino
Alfredo
Alghisio
Algisio
Algiso
Alicio
Alideo
Alido
Alighiero
Aligi
Alino
Alipio
Aliprando
Alisio
Aliso
Aliviero
Allegrino
Allegro
Almerigo
Almerino
Almiro
Aloisio
Alperto
Alpinolo
Alteo
Altero
Altobello
Alvaro
Alvezio
Alvise
Alziro
Amadeo
Amalio
Amandino
Amando
Amanzio
Amato
Ambrogio
Amedeo
Amelio
Amerigo
Amilcare
Aminta
Amintore
Amleto
Amos
Ampelio
Anacleto
Anania
Anastasio
Anatolio
Andrea
Andronico
Angelico
Angelino
Angelo
Aniceto
Aniello
Anito
Annetto
Annibale
Annico
Annino
Annito
Annuccio
Annunciato
Annuncio
Annunziato
Annunzio
Anrico
Ansano
Ansberto
Anselmo
Anselmuccio
Ansovino
Ansprando
Antenore
Anteo
Antero
Antigono
Antimo
Antino
Antonino
Antonio
Apollonio
Appio
Aquilino
Araldo
Aratone
Arcangelo
Archippo
Arcisio
Ardito
Arduino
Argento
Argeo
Argio
Arianno
Ariberto
Ariele
Arioaldo
Aristarco
Aristide
Ariulfo
Armando
Armelindo
Armellino
Armello
Armindo
Arminio
Arnaldo
Arnoldo
Arnolfo
Aronne
Aronzio
Arrigo
Arsacio
Arsenio
Arsilio
Artemio
Arturo
Ascanio
Asdrubale
Aspasio
Assalonne
Assuero
Assuntino
Assunto
Asterino
Asterio
Astero
Astolfo
Astorgio
Astorre
Astrio
Atanasio
Atos
Attalo
Attila
Attilio
Atto
Audenzio
Augusto
Aurelio
Aureo
Aurino
Auro
Ausilio
Autari
Avelino
Avelio
Averio
Aviero
Azadane
Azade
Azaria
Azeglio
Azzo
Azzolino
Azzurrino
Azzurro
Babila
Baccio
Bachisio
Baciccia
Bacolo
Baiulo
Balbino
Baldassarre
Baldovino
Barnaba
Barsimeo
Bartolomeo
Basilio
Bassiano
Battista
Benedetto
Beniamino
Benigno
Benito
Benvenuto
Beppino
Berardo
Berengario
Bernardino
Bernardo
Berto
Bessarione
Bettino
Biagio
Bianco
Bianore
Boemondo
Bonavita
Bonifacio
Bonifazio
Bonoso
Bonturo
Boris
Bortolo
Branca
Branda
Brando
Brendano
Brenno
Brizio
Brunetto
Brunildo
Bruno
Bucolo
Buoso
Cadmo
Caino
Caio
Calimero
Calogero
Camillo
Candido
Canziano
Canzio
Carlo
Carluccio
Carmelo
Carmine
Cassio
Cataldo
Catone
Cecco
Celso
Cesco
Checco
Cherubino
Chiaffredo
Chicco
Chilone
Ciacco
Cianfa
Ciccio
Cilestino
Cino
Ciriaco
Cirillo
Claudio
Cleto
Clodoveo
Cloridano
Colombano
Contardo
Corebo
Coriolano
Cornelio
Corrado
Cosimo
Cosmo
Costantino
Costanzo
Crescenzo
Crisostomo
Crispino
Crispolto
Cristiano
Cristoforo
Cuniberto
Curzio
Damaso
Damiano
Daniele
Danilo
Dante
Dardano
Dario
David
Davide
Decio
Delfino
Delfo
Demetrio
Deodato
Desiderio
Didimo
Diego
Dimitri
Dino
Diomede
Dionigi
Dionisio
Disma
Dolcino
Domenico
Donatello
Donato
Doriano
Druso
Duilio
Dunstano
Durante
Eberardo
Edgardo
Edmondo
Edo
Edoardo
Eduardo
Efisio
Efrem
Egidio
Egilio
Egisto
Ego
Eletto
Eleuterio
Elia
Eligio
Elio
Eliodoro
Eliseo
Elladio
Elpidio
Elvio
Emanuele
Emidio
Emiliano
Emilio
Emmanuele
Enea
Ennio
Enoch
Enrico
Enzo
Epaminonda
Epifanio
Eraldo
Erardo
Erasmo
Erberto
Ercolano
Ercole
Eriberto
Ermanno
Ermenegildo
Erminio
Ermogene
Ermolao
Ernani
Ernesto
Errico
Esdra
Espedito
Esuperanzio
Ettore
Euclide
Euforbo
Eugenio
Eurialo
Eusanio
Eusebio
Eustachio
Eustorgio
Eutimio
Evandro
Evangelista
Evaristo
Evasio
Ezechia
Ezechiele
Ezio
Fabiano
Fabio
Fabrizio
Faustiniano
Faustino
Fausto
Febo
Fede
Fedele
Federico
Federigo
Fedrico
Felice
Feliciano
Ferdinando
Fermo
Ferrante
Ferruccio
Filiberto
Filippo
Fiore
Fiorello
Fiorenzo
Firmino
Flaminio
Flavio
Floriano
Florido
Folco
Fortunato
Fozio
Francesco
Franco
Frederico
Frediano
Fulgenzio
Fulvio
Gabriele
Gaddo
Gaetano
Galdino
Galeazzo
Galeotto
Galileo
Galvano
Gamaliele
Gandolfo
Gaspare
Gastone
Gaudenzio
Gaudioso
Gavino
Gedeone
Gelindo
Geminiano
Generoso
Gennadio
Gennaro
Genserico
Geppetto
Geppino
Gerardo
Geremia
Gerlando
Gerolamo
Gerone
Geronzio
Gervasio
Gervaso
Gesualdo
Gherardo
Giacinto
Giacobbe
Giacomo
Giairo
Giambattista
Giampiero
Gian Marco
Giancarlo
Gianfranco
Gianluca
Gianluigi
Gianmarco
Gianmaria
Gianni
Gianpaolo
Giasone
Giggi
Gigi
Gilberto
Gilio
Gillo
Gino
Gioacchino
Gioachino
Giobbe
Gioele
Giona
Gionata
Giorgio
Gioseffo
Giosia
Giosuè
Giotto
Giovanni
Girolamo
Giuda
Giuliano
Giulio
Giunio
Giuseppe
Giustino
Giusto
Glauco
Goffredo
Gordiano
Graziano
Gregorio
Gualtiero
Guelfo
Guglielmo
Guido
Guiscardo
Guittone
Gustavo
Iago
Icaro
Iefte
Ietro
Igino
Ignazio
Igor
Ilario
Ildebrando
Ildefonso
Innocenzo
Iorio
Ippolito
