Aagot
Abba
Abel
Abela
Abelína
Abigael
Abígael
Ada
Adda
Addbjörg
Addlaug
Addý
Adela
Adolfína
Adriana
Aðalbjörg
Aðalbjört
Aðalborg
Aðaldís
Aðalfriður
Aðalgerður
Aðalgunnur
Aðalheiður
Aðalrós
Aðalsteina
Aðalsteinunn
Aðalveig
Agata
Agatha
Agða
Agga
Agla
Agna
Agnborg
Agnea
Agnes
Agneta
Akurrós
Alba
Alberta
Albertína
Albína
Alda
Aldarrós
Aldinborg
Aldína
Aldís
Aldísa
Aldný
Alexa
Alexandra
Alexandría
Alexandrína
Alexía
Alexína
Alfa
Alfdís
Alfífa
Alfreðsína
Alfríður
Algunda
Alice
Alída
Alís
Alísa
Alla
Allaug
Alleif
Alleifa
Allý
Alma
Alríður
Alrún
Alva
Alvilda
Amadea
Amal
Amalía
Amanda
Amelía
Amíra
Amý
Anais
Analía
Anastasía
Andra
Andrá
Andrea
Andresa
Andresína
Andría
Andríana
Andrína
Anelía
Anetta
Angela
Angelíka
Anika
Anina
Anita
Aníka
Anína
Aníta
Anja
Ann
Anna
Annabella
Annadís
Annaína
Annalísa
Annarósa
Anne
Annetta
Anney
Annika
Annía
Anný
Antonetta
Antonía
Apollína
Apollonia
Ardís
Arey
Arinbjörg
Aris
Arisa
Aríanna
Aríella
Arín
Arína
Arís
Arja
Arla
Arlaug
Armenía
Arna
Arnbjörg
Arnborg
Arndís
Arney
Arnfinna
Arnfríður
Arngerður
Arngunnur
Arnheiður
Arnhildur
Arnika
Arnkatla
Arnlaug
Arnleif
Arnlín
Arnljót
Arnóra
Arnrós
Arnrún
Arnþóra
Arnþrúður
Arvida
Askja
Assa
Asta
Astri
Astrid
Atena
Athena
Atla
Auðbjörg
Auðbjört
Auðdís
Auðhildur
Auðlín
Auðna
Auðný
Auðrún
Auður
Aurora
Axelia
Axelía
Axelina
Axelma
Aþena
Ágáða
Ágústa
Ágústína
Álaug
Áldís
Álfdís
Álfey
Álfgerður
Álfheiður
Álfhildur
Álflaug
Álfrún
Álfsól
Árbjörg
Árbjört
Árdís
Árelía
Árlaug
Ármey
Árna
Árndís
Árney
Árngunna
Árnheiður
Árnína
Árný
Áróra
Ársól
Ársæl
Árveig
Árþóra
Ása
Ásbjörg
Ásborg
Ásdís
Ásfríður
Ásgerður
Áshildur
Áskatla
Ásla
Áslaug
Áslaugur
Ásleif
Ásný
Ásrós
Ásrún
Ásta
Ástbjörg
Ástbjört
Ástdís
Ástfríður
Ástgerður
Ástheiður
Ásthildur
Ástlaug
Ástríður
Ástrós
Ástrún
Ástveig
Ástþóra
Ástþrúður
Ásvör
Baldey
Baldrún
Baldvina
Barbara
Barbára
Bára
Beda
Begga
Bekkhildur
Belinda
Bella
Benedikta
Benediktína
Bengta
Benía
Benna
Benney
Benný
Bengta
Benta
Bentína
Bera
Bergdís
Bergey
Bergfríður
Bergheiður
Berghildur
Berglaug
Berglind
Berglín
Bergljót
Bergný
Bergrín
Bergrós
Bergrún
Bergþóra
Berglaug
Bergljót
Berit
Berta
Bertha
Bessí
Beta
Betanía
Betsý
Bettý
Birgit
Birgitta
Birna
Birta
Birthe
Birtna
Bíbí
Bína
Bjargey
Bjargheiður
Bjarghildur
Bjarglaug
Bjarglind
Bjarkey
Bjarklind
Bjarma
Bjarna
Bjarndís
Bjarney
Bjarnfríður
Bjarngerður
Bjarnhildur
Bjarnheiður
Bjarnlaug
Bjarnrún
Bjarnveig
Bjarnþóra
Bjarnþrúður
Bjartey
Bjartmey
Björg
Björnfríður
Björgheiður
Björghildur
Björk
Björnlaug
Björt
Blíða
Blómey
Blómlaug
Blædís
Bodil
Bóel
Boga
Bogdís
Bogey
Bogga
Boghildur
Bolla
Borg
Borgdís
Borghildur
Borgný
Borgrún
Borgþóra
Bóthildur
Braga
Braghildur
Branddís
Brá
Brák
Brigitta
Brimdís
Brimhildur
Brimrún
Brit
Brita
Britt
Britta
Britten
Bríana
Bríanna
Bríet
Bro
