Aage
Abel
Abraham
Absalon
Adam
Addi
Adel
Adíel
Adolf
Adólf
Adolph
Adrían
Adríel
Aðalberg
Aðalbergur
Aðalbert
Aðalbjörn
Aðalborgar
Aðalbrandur
Aðalgeir
Aðaljón
Aðalmundur
Aðalráður
Aðalsteinn
Aðils
Adser
Aggi
Agnar
Agni
Agrippa
Alberg
Albert
Albínus
Aldar
Aldvar
Alex
Alexander
Alexítus
Alexíus
Alfons
Alfred
Alfreð
Alfunnur
Algeir
Ali
Allan
Alli
Alstein
Almar
Alrekur
Alvar
Alvin
Amlóði
Amos
Analíus
Ananías
Anders
Andór
Andreas
Andrés
Andri
Anes
Angantýr
Angi
Angus
Anílius
Annalíus
Annar
Annas
Annel
Annes
Annilíus
Annmar
Annþór
Anthony
Anton
Antoníus
Apollonius
Arent
Ares
Ari
Arilíus
Arinbjörn
Aríel
Aríus
Arnald
Arnaldur
Arnar
Arnberg
Arnbergur
Arnbjörn
Arndór
Arne
Arnes
Arnfastur
Arnfinnur
Arnfreyr
Arngeir
Arngils
Arngnýr
Arngrímur
Arnkell
Arnlaugur
Arnleifur
Arnljótur
Arnmóður
Arnmundur
Arnoddur
Arnold
Arnór
Arnsteinn
Arnúlfur
Arnviður
Arnþór
Aron
Arthur
Arthúr
Artúr
Arviður
Askur
Aspar
Atlas
Atli
Auðbergur
Auðbert
Auðbjörn
Auðgeir
Auðkell
Auðmundur
Auðólfur
Auðun
Auðunn
Austar
Austmann
Austmar
Austri
Axel
Ágúst
Ágústin
Águstus
Áki
Álfgeir
Álfgrímur
Álfur
Álfþór
Ámundi
Árbjartur
Árbjörn
Árelíus
Árgeir
Árgils
Ármann
Árni
Ársæll
Ás
Ásberg
Ásbergur
Ásbjörn
Ásgautur
Ásgeir
Ásgils
Ásgrímur
Ási
Áskell
Ásketill
Áslaugur
Áslákur
Ásli
Ásmar
Ásmundur
Ásólfur
Ásröður
Ástbjörn
Ástgeir
Ásti
Ástmar
Ástmundur
Ástolfur
Ástráður
Ástríkur 
Ástvaldur
Ástvar
Ástvin
Ástþór
Ásvaldur
Ásvarður
Ásviður
Ásþór
Baldur
Baldvin
Baldwin
Baltasar
Baltasar Kormákur
Bambi
Barði
Barri
Baugur
Bárður
Beinir
Beinteinn
Beitir
Bekan
Benedikt
Bengt
Benni
Benoný
Benóní
Benóný
Benjamín
Bent
Berent
Berg
Bergfinnur
Berghreinn
Bergmann
Bergmar
Bergmundur
Bergsteinn
Bergsveinn
Bergur
Bergvin
Bergþór
Bergþór Smári
Bernhard
Bernharð
Bernharður
Bernódus
Bersi
Bertel
Bertil
Bessi
Betúel
Bill
Birgir
Birkir
Birnir
Bjargar
Bjargmundur
Bjargþór
Bjarkar
Bjarki
Bjarmar
Bjarmi
Bjarnar
Bjarnfinnur
Bjarnfreður
Bjarnharður
Bjarnhéðinn
Bjarni
Bjarnlaugur
Bjarnleifur
Bjarnólfur
Bjarnsteinn
Bjarnþór
Bjartmann
Bjartmar
Bjartur
Bjartþór
Bjólan
Bjólfur
Björgmundur
Björgólfur
Björgúlfur
Björgvin
Björn
Björnólfur
Blængur
Blær
Blævar
Boði
Bogi
Bolli
Borgar
Borgþór
Bóas
Bótólfur
Bótviður
Bragi
Brandur
Breki
Bresi
Brestir
